"module name","license","repository"
"@babel/runtime@7.28.6","MIT","https://github.com/babel/babel"
"@img/sharp-libvips-linux-x64@1.0.4","LGPL-3.0-or-later","https://github.com/lovell/sharp-libvips"
"@img/sharp-libvips-linuxmusl-x64@1.0.4","LGPL-3.0-or-later","https://github.com/lovell/sharp-libvips"
"@img/sharp-linux-x64@0.33.5","Apache-2.0","https://github.com/lovell/sharp"
"@img/sharp-linuxmusl-x64@0.33.5","Apache-2.0","https://github.com/lovell/sharp"
"@ioredis/commands@1.5.1","MIT","https://github.com/ioredis/commands"
"@isaacs/fs-minipass@4.0.1","ISC","https://github.com/npm/fs-minipass"
"@lukeed/csprng@1.1.0","MIT","https://github.com/lukeed/csprng"
"@lukeed/uuid@2.0.1","MIT","https://github.com/lukeed/uuid"
"@types/bcrypt@6.0.0","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/debug@4.1.12","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/events@3.0.3","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/ini@4.1.1","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/ms@2.1.0","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/node@25.4.0","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"accepts@2.0.0","MIT","https://github.com/jshttp/accepts"
"awaitqueue@3.3.0","ISC","https://github.com/versatica/awaitqueue"
"bcrypt@6.0.0","MIT","https://github.com/kelektiv/node.bcrypt.js"
"body-parser@2.2.2","MIT","https://github.com/expressjs/body-parser"
"bytes@3.1.2","MIT","https://github.com/visionmedia/bytes.js"
"call-bind-apply-helpers@1.0.2","MIT","https://github.com/ljharb/call-bind-apply-helpers"
"call-bound@1.0.4","MIT","https://github.com/ljharb/call-bound"
"chownr@3.0.0","BlueOak-1.0.0","https://github.com/isaacs/chownr"
"cluster-key-slot@1.1.2","Apache-2.0","https://github.com/Salakar/cluster-key-slot"
"color-convert@2.0.1","MIT","https://github.com/Qix-/color-convert"
"color-name@1.1.4","MIT","https://github.com/colorjs/color-name"
"color-string@1.9.1","MIT","https://github.com/Qix-/color-string"
"color@4.2.3","MIT","https://github.com/Qix-/color"
"content-disposition@1.0.1","MIT","https://github.com/jshttp/content-disposition"
"content-type@1.0.5","MIT","https://github.com/jshttp/content-type"
"cookie-signature@1.2.2","MIT","https://github.com/visionmedia/node-cookie-signature"
"cookie@0.7.2","MIT","https://github.com/jshttp/cookie"
"core-js@3.48.0","MIT","https://github.com/zloirock/core-js"
"data-uri-to-buffer@4.0.1","MIT","https://github.com/TooTallNate/node-data-uri-to-buffer"
"debug@4.4.3","MIT","https://github.com/debug-js/debug"
"denque@2.1.0","Apache-2.0","https://github.com/invertase/denque"
"depd@2.0.0","MIT","https://github.com/dougwilson/nodejs-depd"
"detect-libc@2.1.2","Apache-2.0","https://github.com/lovell/detect-libc"
"dunder-proto@1.0.1","MIT","https://github.com/es-shims/dunder-proto"
"ee-first@1.1.1","MIT","https://github.com/jonathanong/ee-first"
"encodeurl@2.0.0","MIT","https://github.com/pillarjs/encodeurl"
"es-define-property@1.0.1","MIT","https://github.com/ljharb/es-define-property"
"es-errors@1.3.0","MIT","https://github.com/ljharb/es-errors"
"es-object-atoms@1.1.1","MIT","https://github.com/ljharb/es-object-atoms"
"escape-html@1.0.3","MIT","https://github.com/component/escape-html"
"etag@1.8.1","MIT","https://github.com/jshttp/etag"
"events@3.3.0","MIT","https://github.com/Gozala/events"
"express@5.2.1","MIT","https://github.com/expressjs/express"
"fake-mediastreamtrack@2.2.1","ISC","https://github.com/ibc/fake-mediastreamtrack"
"fetch-blob@3.2.0","MIT","https://github.com/node-fetch/fetch-blob"
"finalhandler@2.1.1","MIT","https://github.com/pillarjs/finalhandler"
"flatbuffers@25.9.23","Apache-2.0","https://github.com/google/flatbuffers"
"formdata-polyfill@4.0.10","MIT","git+https://jimmywarting@github.com/jimmywarting/FormData"
"forwarded@0.2.0","MIT","https://github.com/jshttp/forwarded"
"fresh@2.0.0","MIT","https://github.com/jshttp/fresh"
"function-bind@1.1.2","MIT","https://github.com/Raynos/function-bind"
"get-intrinsic@1.3.0","MIT","https://github.com/ljharb/get-intrinsic"
"get-proto@1.0.1","MIT","https://github.com/ljharb/get-proto"
"gopd@1.2.0","MIT","https://github.com/ljharb/gopd"
"h264-profile-level-id@2.3.2","ISC","https://github.com/versatica/h264-profile-level-id"
"has-symbols@1.1.0","MIT","https://github.com/inspect-js/has-symbols"
"hasown@2.0.2","MIT","https://github.com/inspect-js/hasOwn"
"http-errors@2.0.1","MIT","https://github.com/jshttp/http-errors"
"i18next@26.2.0","MIT","https://github.com/i18next/i18next"
"iconv-lite@0.7.2","MIT","https://github.com/pillarjs/iconv-lite"
"inherits@2.0.4","ISC","https://github.com/isaacs/inherits"
