time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-08-05T05:00:55.470Z,34.204,-117.6558333,8.61,2.63,ml,101,16,0.03482,0.25,ci,ci39331047,2020-08-05T06:15:55.504Z,"11km NW of Rancho Cucamonga, CA",earthquake,0.2,0.62,0.102,25,automatic,ci,ci
2020-08-05T04:47:17.860Z,36.5315018,-89.6421661,12.47,2.54,md,29,42,0.08214,0.2,nm,nm60323871,2020-08-05T05:42:52.773Z,"2 km WNW of Marston, Missouri",earthquake,0.31,0.58,0.36,21,reviewed,nm,nm
2020-08-05T04:18:17.244Z,17.9277,-66.7903,10,2.6,ml,,197,0.086,0.48,us,us6000b9in,2020-08-05T04:31:41.040Z,"7 km SSE of Indios, Puerto Rico",earthquake,1.5,1.9,0.063,33,reviewed,us,us
2020-08-05T02:56:44.173Z,60.593,-150.8638,35,2.6,ml,,57,0.327,0.6,us,us6000b9ie,2020-08-05T03:14:10.040Z,"8 km NW of Sterling, Alaska",earthquake,2.6,2,0.039,85,reviewed,us,us
2020-08-05T02:20:59.031Z,-28.3008,-176.403,10,4.9,mb,,121,1.636,0.91,us,us6000b9hw,2020-08-05T02:43:10.040Z,"Kermadec Islands region",earthquake,9.7,1.9,0.056,99,reviewed,us,us
2020-08-05T01:53:52.774Z,-15.4489,167.659,131.24,4.9,mb,,60,0.439,1.27,us,us6000b9hf,2020-08-05T02:10:40.040Z,"53 km E of Luganville, Vanuatu",earthquake,8.4,2.6,0.119,22,reviewed,us,us
2020-08-05T01:39:45.046Z,63.5346,-149.9702,112.6,2.8,ml,,,,0.52,ak,ak020a0jzjlj,2020-08-05T01:57:07.352Z,"53 km WNW of Cantwell, Alaska",earthquake,,0.5,,,automatic,ak,ak
2020-08-05T01:01:24.252Z,-24.0645,-175.4054,10,4.9,mb,,96,7.114,0.9,us,us6000b9h2,2020-08-05T01:30:59.040Z,"south of Tonga",earthquake,10,1.8,0.106,28,reviewed,us,us
2020-08-04T23:51:11.289Z,-1.7749,100.2035,52.74,5.1,mb,,159,2.248,0.79,us,us6000b9gc,2020-08-05T00:09:52.040Z,"92 km S of Padang, Indonesia",earthquake,8,7.1,0.061,88,reviewed,us,us
2020-08-04T23:32:48.265Z,44.3674,-115.2164,11.9,3.2,ml,,63,0.299,0.33,us,us6000b9g2,2020-08-05T02:56:53.823Z,"27 km NW of Stanley, Idaho",earthquake,2.1,9.6,0.037,96,reviewed,us,us
2020-08-04T23:22:27.870Z,-5.7159,130.8911,77.16,4.6,mb,,143,2.288,0.77,us,us6000b9g0,2020-08-05T00:01:06.040Z,"206 km W of Tual, Indonesia",earthquake,10.3,8.2,0.103,28,reviewed,us,us
2020-08-04T22:39:25.440Z,19.4353332519531,-155.231338500977,27.2299995422363,2.56999993,md,51,112,,0.129999995,hv,hv72075707,2020-08-04T23:44:45.040Z,"0 km SSE of Volcano, Hawaii",earthquake,0.56,0.379999995,1.53999996,44,automatic,hv,hv
2020-08-04T22:37:13.901Z,61.391,-150.1007,20,2.6,ml,,,,0.9,ak,ak0209z8xt21,2020-08-04T23:42:02.040Z,"7 km WNW of Point MacKenzie, Alaska",earthquake,,0.3,,,automatic,ak,ak
2020-08-04T21:28:37.230Z,36.3428333,-120.3443333,7.06,2.97,ml,59,110,0.3288,0.15,nc,nc73438321,2020-08-05T04:14:54.218Z,"18km S of Cantua Creek, CA",earthquake,0.27,1.44,0.215,49,reviewed,nc,nc
2020-08-04T19:35:17.312Z,63.2542,-150.7005,127.75,2.5,ml,,23,0.27,0.45,us,us6000b9cj,2020-08-04T21:56:42.040Z,"60 km ESE of Denali National Park, Alaska",earthquake,4.4,5.8,0.025,210,reviewed,us,us
2020-08-04T19:32:39.323Z,0.5707,126.3084,35.81,4.9,mb,,84,1.076,0.84,us,us6000b9cq,2020-08-04T20:00:39.040Z,"122 km WSW of Ternate, Indonesia",earthquake,8.5,8.9,0.1,34,reviewed,us,us
2020-08-04T19:17:52.613Z,13.3527,-91.952,11.83,5.8,mww,,50,1.191,1.16,us,us6000b9cc,2020-08-04T23:06:12.291Z,"104 km S of Champerico, Guatemala",earthquake,6.2,3.8,0.048,42,reviewed,us,us
